Title,MapType,MatchMode,Priority,OutputCode,FolderName,Active
2025-02-08,FiscalWeek,Token,0,2025-W01,,Yes
2025-02-15,FiscalWeek,Token,0,2025-W02,,Yes
2025-02-22,FiscalWeek,Token,0,2025-W03,,Yes
2025-03-01,FiscalWeek,Token,0,2025-W04,,Yes
2025-03-08,FiscalWeek,Token,0,2025-W05,,Yes
2025-03-15,FiscalWeek,Token,0,2025-W06,,Yes
2025-03-22,FiscalWeek,Token,0,2025-W07,,Yes
2025-03-29,FiscalWeek,Token,0,2025-W08,,Yes
2025-04-05,FiscalWeek,Token,0,2025-W09,,Yes
2025-04-12,FiscalWeek,Token,0,2025-W10,,Yes
2025-04-19,FiscalWeek,Token,0,2025-W11,,Yes
2025-04-26,FiscalWeek,Token,0,2025-W12,,Yes
2025-05-03,FiscalWeek,Token,0,2025-W13,,Yes
2025-05-10,FiscalWeek,Token,0,2025-W14,,Yes
2025-05-17,FiscalWeek,Token,0,2025-W15,,Yes
2025-05-24,FiscalWeek,Token,0,2025-W16,,Yes
2025-05-31,FiscalWeek,Token,0,2025-W17,,Yes
2025-06-07,FiscalWeek,Token,0,2025-W18,,Yes
2025-06-14,FiscalWeek,Token,0,2025-W19,,Yes
2025-06-21,FiscalWeek,Token,0,2025-W20,,Yes
2025-06-28,FiscalWeek,Token,0,2025-W21,,Yes
2025-07-05,FiscalWeek,Token,0,2025-W22,,Yes
2025-07-12,FiscalWeek,Token,0,2025-W23,,Yes
2025-07-19,FiscalWeek,Token,0,2025-W24,,Yes
2025-07-26,FiscalWeek,Token,0,2025-W25,,Yes
2025-08-02,FiscalWeek,Token,0,2025-W26,,Yes
2025-08-09,FiscalWeek,Token,0,2025-W27,,Yes
2025-08-16,FiscalWeek,Token,0,2025-W28,,Yes
2025-08-23,FiscalWeek,Token,0,2025-W29,,Yes
2025-08-30,FiscalWeek,Token,0,2025-W30,,Yes
2025-09-06,FiscalWeek,Token,0,2025-W31,,Yes
2025-09-13,FiscalWeek,Token,0,2025-W32,,Yes
2025-09-20,FiscalWeek,Token,0,2025-W33,,Yes
2025-09-27,FiscalWeek,Token,0,2025-W34,,Yes
2025-10-04,FiscalWeek,Token,0,2025-W35,,Yes
2025-10-11,FiscalWeek,Token,0,2025-W36,,Yes
2025-10-18,FiscalWeek,Token,0,2025-W37,,Yes
2025-10-25,FiscalWeek,Token,0,2025-W38,,Yes
2025-11-01,FiscalWeek,Token,0,2025-W39,,Yes
2025-11-08,FiscalWeek,Token,0,2025-W40,,Yes
2025-11-15,FiscalWeek,Token,0,2025-W41,,Yes
2025-11-22,FiscalWeek,Token,0,2025-W42,,Yes
2025-11-29,FiscalWeek,Token,0,2025-W43,,Yes
2025-12-06,FiscalWeek,Token,0,2025-W44,,Yes
2025-12-13,FiscalWeek,Token,0,2025-W45,,Yes
2025-12-20,FiscalWeek,Token,0,2025-W46,,Yes
2025-12-27,FiscalWeek,Token,0,2025-W47,,Yes
2026-01-03,FiscalWeek,Token,0,2025-W48,,Yes
2026-01-10,FiscalWeek,Token,0,2025-W49,,Yes
2026-01-17,FiscalWeek,Token,0,2025-W50,,Yes
2026-01-24,FiscalWeek,Token,0,2025-W51,,Yes
2026-01-31,FiscalWeek,Token,0,2025-W52,,Yes
2026-02-07,FiscalWeek,Token,0,2026-W01,,Yes
2026-02-14,FiscalWeek,Token,0,2026-W02,,Yes
2026-02-21,FiscalWeek,Token,0,2026-W03,,Yes
2026-02-28,FiscalWeek,Token,0,2026-W04,,Yes
2026-03-07,FiscalWeek,Token,0,2026-W05,,Yes
2026-03-14,FiscalWeek,Token,0,2026-W06,,Yes
2026-03-21,FiscalWeek,Token,0,2026-W07,,Yes
2026-03-28,FiscalWeek,Token,0,2026-W08,,Yes
2026-04-04,FiscalWeek,Token,0,2026-W09,,Yes
2026-04-11,FiscalWeek,Token,0,2026-W10,,Yes
2026-04-18,FiscalWeek,Token,0,2026-W11,,Yes
2026-04-25,FiscalWeek,Token,0,2026-W12,,Yes
2026-05-02,FiscalWeek,Token,0,2026-W13,,Yes
2026-05-09,FiscalWeek,Token,0,2026-W14,,Yes
2026-05-16,FiscalWeek,Token,0,2026-W15,,Yes
2026-05-23,FiscalWeek,Token,0,2026-W16,,Yes
2026-05-30,FiscalWeek,Token,0,2026-W17,,Yes
2026-06-06,FiscalWeek,Token,0,2026-W18,,Yes
2026-06-13,FiscalWeek,Token,0,2026-W19,,Yes
2026-06-20,FiscalWeek,Token,0,2026-W20,,Yes
2026-06-27,FiscalWeek,Token,0,2026-W21,,Yes
2026-07-04,FiscalWeek,Token,0,2026-W22,,Yes
2026-07-11,FiscalWeek,Token,0,2026-W23,,Yes
2026-07-18,FiscalWeek,Token,0,2026-W24,,Yes
2026-07-25,FiscalWeek,Token,0,2026-W25,,Yes
2026-08-01,FiscalWeek,Token,0,2026-W26,,Yes
